# "No.","Time","Source","Destination","Protocol","Length","Info"
"49","3.177938","10.0.0.1","10.0.0.3","DNS","152","Standard query response 0x749e A vortex.data.microsoft.com CNAME asimov.vortex.data.trafficmanager.net A 23.96.225.71"
"50","3.179321","10.0.0.3","23.96.225.71","TCP","66","59041 → 443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"51","3.425067","23.96.225.71","10.0.0.3","TCP","66","443 → 59041 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM=1"
"52","3.425198","10.0.0.3","23.96.225.71","TCP","54","59041 → 443 [ACK] Seq=1 Ack=1 Win=263424 Len=0"
"53","3.425873","10.0.0.3","23.96.225.71","TLSv1.2","571","Client Hello"
"54","3.585394","10.0.0.3","239.100.1.1","ICEP","401","Request(oneway): stateReceiver.receiveStationRunningState()"
"55","3.585437","10.0.0.3","239.100.1.1","ICEP","108","Request(oneway): stateReceiver.receiveAppRunningState()"
"56","3.618594","10.0.0.3","239.100.1.1","ICEP","356","Request(oneway): stateReceiver.receiveNetStatistics()"
"57","3.672662","23.96.225.71","10.0.0.3","TCP","1506","443 → 59041 [ACK] Seq=1 Ack=518 Win=525056 Len=1452 [TCP segment of a reassembled PDU]"
"58","3.672662","23.96.225.71","10.0.0.3","TCP","1506","443 → 59041 [ACK] Seq=1453 Ack=518 Win=525056 Len=1452 [TCP segment of a reassembled PDU]"
"59","3.672662","23.96.225.71","10.0.0.3","TLSv1.2","1041","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"60","3.672730","10.0.0.3","23.96.225.71","TCP","54","59041 → 443 [ACK] Seq=518 Ack=3892 Win=263424 Len=0"
"61","3.673235","10.0.0.3","23.96.225.71","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"62","3.917853","23.96.225.71","10.0.0.3","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"63","3.918403","10.0.0.3","23.96.225.71","TLSv1.2","865","Application Data"
"64","4.169973","10.0.0.3","23.53.40.192","TCP","54","[TCP Retransmission] 57433 → 443 [FIN, ACK] Seq=1 Ack=1 Win=1024 Len=0"
"65","4.217741","23.96.225.71","10.0.0.3","TCP","60","443 → 59041 [ACK] Seq=3943 Ack=1422 Win=524032 Len=0"
"66","4.242983","23.96.225.71","10.0.0.3","TLSv1.2","368","Application Data"
"67","4.242983","23.96.225.71","10.0.0.3","TCP","368","[TCP Out-Of-Order] 443 → 59041 [FIN, PSH, ACK] Seq=3943 Ack=1422 Win=524032 Len=314"
"68","4.243057","10.0.0.3","23.96.225.71","TCP","66","59041 → 443 [ACK] Seq=1422 Ack=4258 Win=262912 Len=0 SLE=3943 SRE=4257"
"69","4.243321","10.0.0.3","23.96.225.71","TLSv1.2","85","Encrypted Alert"
"70","4.243409","10.0.0.3","23.96.225.71","TCP","54","59041 → 443 [FIN, ACK] Seq=1453 Ack=4258 Win=262912 Len=0"
"71","4.487454","23.96.225.71","10.0.0.3","TCP","60","443 → 59041 [ACK] Seq=4258 Ack=1454 Win=525568 Len=0"
"72","5.322114","10.0.0.3","23.215.100.64","TLSv1.2","266","Client Hello"
"73","6.392994","13.225.141.19","10.0.0.3","TLSv1.2","93","Application Data"
"74","6.392994","13.225.141.19","10.0.0.3","TLSv1.2","78","Application Data"
"75","6.393137","10.0.0.3","13.225.141.19","TCP","54","58892 → 443 [ACK] Seq=1 Ack=64 Win=1027 Len=0"
"76","7.243530","13.225.141.19","10.0.0.3","TCP","60","443 → 58892 [FIN, ACK] Seq=64 Ack=1 Win=131 Len=0"
"77","7.243582","10.0.0.3","13.225.141.19","TCP","54","58892 → 443 [ACK] Seq=1 Ack=65 Win=1027 Len=0"
"78","7.243615","13.225.141.19","10.0.0.3","TCP","60","[TCP Out-Of-Order] 443 → 58892 [FIN, ACK] Seq=64 Ack=1 Win=131 Len=0"
"79","7.243626","10.0.0.3","13.225.141.19","TCP","54","[TCP Dup ACK 77#1] 58892 → 443 [ACK] Seq=1 Ack=65 Win=1027 Len=0"
"80","7.373278","10.0.0.3","104.17.24.14","TCP","55","58906 → 443 [ACK] Seq=1 Ack=1 Win=1028 Len=1 [TCP segment of a reassembled PDU]"
"81","7.571466","104.17.24.14","10.0.0.3","TCP","66","443 → 58906 [ACK] Seq=1 Ack=2 Win=64 Len=0 SLE=1 SRE=2"
"82","8.695326","10.0.0.3","239.100.1.1","ICEP","401","Request(oneway): stateReceiver.receiveStationRunningState()"
"83","8.695353","10.0.0.3","239.100.1.1","ICEP","108","Request(oneway): stateReceiver.receiveAppRunningState()"
"84","8.718602","10.0.0.3","239.100.1.1","ICEP","356","Request(oneway): stateReceiver.receiveNetStatistics()"
"85","10.936356","10.0.0.3","52.139.250.253","TLSv1.2","98","Application Data"
"86","11.044768","52.139.250.253","10.0.0.3","TLSv1.2","229","Application Data"
"87","11.095639","10.0.0.3","52.139.250.253","TCP","54","55677 → 443 [ACK] Seq=45 Ack=176 Win=1023 Len=0"
"88","11.905653","10.0.0.3","117.18.232.200","TCP","54","[TCP Retransmission] 58841 → 443 [FIN, ACK] Seq=1 Ack=1 Win=1023 Len=0"
"89","11.934958","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.2? Tell 10.0.0.4"
"90","11.936952","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.3? Tell 10.0.0.4"
"91","11.936959","Giga-Byt_01:fc:42","BaiduOnl_fd:9e:c4","ARP","42","10.0.0.3 is at 1c:1b:0d:01:fc:42"
"92","11.938548","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.5? Tell 10.0.0.4"
"93","11.938926","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.6? Tell 10.0.0.4"
"94","11.938971","10.0.0.4","10.0.0.3","ICMP","74","Echo (ping) request  id=0xafaf, seq=0/0, ttl=255 (reply in 95)"
"95","11.939001","10.0.0.3","10.0.0.4","ICMP","74","Echo (ping) reply    id=0xafaf, seq=0/0, ttl=128 (request in 94)"
"96","11.942312","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.7? Tell 10.0.0.4"
"97","11.942611","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.8? Tell 10.0.0.4"
"98","11.943661","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.9? Tell 10.0.0.4"
"99","11.944808","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.10? Tell 10.0.0.4"
"100","11.945963","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.11? Tell 10.0.0.4"
"101","11.948018","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.12? Tell 10.0.0.4"
"102","12.505219","10.0.0.3","23.53.40.192","TCP","54","[TCP Retransmission] 57433 → 443 [FIN, ACK] Seq=1 Ack=1 Win=1024 Len=0"
"103","12.799374","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.12? Tell 10.0.0.4"
"104","12.799374","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.2? Tell 10.0.0.4"
"105","12.800577","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.5? Tell 10.0.0.4"
"106","12.801569","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.6? Tell 10.0.0.4"
"107","12.801680","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.7? Tell 10.0.0.4"
"108","12.801821","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.8? Tell 10.0.0.4"
"109","12.802043","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.9? Tell 10.0.0.4"
"110","12.803468","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.10? Tell 10.0.0.4"
"111","12.803468","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.11? Tell 10.0.0.4"
"112","13.205152","13.225.141.19","10.0.0.3","TLSv1.2","93","Application Data"
"113","13.205152","13.225.141.19","10.0.0.3","TLSv1.2","78","Application Data"
"114","13.205152","13.225.141.19","10.0.0.3","TCP","60","443 → 58894 [FIN, ACK] Seq=64 Ack=1 Win=133 Len=0"
"115","13.205299","10.0.0.3","13.225.141.19","TCP","54","58894 → 443 [ACK] Seq=1 Ack=65 Win=1024 Len=0"
"116","13.205779","10.0.0.3","13.225.141.19","TCP","54","58894 → 443 [FIN, ACK] Seq=1 Ack=65 Win=1024 Len=0"
"117","13.397671","13.225.141.19","10.0.0.3","TCP","60","443 → 58894 [ACK] Seq=65 Ack=2 Win=133 Len=0"
"118","13.596112","10.0.0.3","203.208.50.73","TCP","55","58905 → 443 [ACK] Seq=1 Ack=1 Win=1026 Len=1 [TCP segment of a reassembled PDU]"
"119","13.612101","10.0.0.3","172.67.193.35","TCP","55","58901 → 443 [ACK] Seq=1 Ack=1 Win=1023 Len=1 [TCP segment of a reassembled PDU]"
"120","13.634587","203.208.50.73","10.0.0.3","TCP","66","443 → 58905 [ACK] Seq=1 Ack=2 Win=266 Len=0 SLE=1 SRE=2"
"121","13.800250","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.12? Tell 10.0.0.4"
"122","13.800795","10.0.0.3","239.100.1.1","ICEP","401","Request(oneway): stateReceiver.receiveStationRunningState()"
"123","13.800826","10.0.0.3","239.100.1.1","ICEP","108","Request(oneway): stateReceiver.receiveAppRunningState()"
"124","13.801286","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.2? Tell 10.0.0.4"
"125","13.802535","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.5? Tell 10.0.0.4"
"126","13.802677","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.6? Tell 10.0.0.4"
"127","13.802831","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.7? Tell 10.0.0.4"
"128","13.803049","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.8? Tell 10.0.0.4"
"129","13.804067","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.9? Tell 10.0.0.4"
"130","13.804229","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.10? Tell 10.0.0.4"
"131","13.804363","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.11? Tell 10.0.0.4"
"132","13.819639","172.67.193.35","10.0.0.3","TCP","66","443 → 58901 [ACK] Seq=1 Ack=2 Win=66 Len=0 SLE=1 SRE=2"
"133","13.845711","10.0.0.3","203.208.43.97","TCP","55","58866 → 443 [ACK] Seq=1 Ack=1 Win=1024 Len=1 [TCP segment of a reassembled PDU]"
"134","13.854482","10.0.0.3","239.100.1.1","ICEP","356","Request(oneway): stateReceiver.receiveNetStatistics()"
"135","13.881715","203.208.43.97","10.0.0.3","TCP","66","443 → 58866 [ACK] Seq=1 Ack=2 Win=290 Len=0 SLE=1 SRE=2"
"136","13.954245","10.0.0.3","203.208.43.70","TCP","55","58867 → 443 [ACK] Seq=1 Ack=1 Win=1026 Len=1 [TCP segment of a reassembled PDU]"
"137","13.991329","203.208.43.70","10.0.0.3","TCP","66","443 → 58867 [ACK] Seq=1 Ack=2 Win=271 Len=0 SLE=1 SRE=2"
"138","14.801428","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.12? Tell 10.0.0.4"
"139","14.802500","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.2? Tell 10.0.0.4"
"140","14.802500","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.5? Tell 10.0.0.4"
"141","14.805540","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.6? Tell 10.0.0.4"
"142","14.805540","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.7? Tell 10.0.0.4"
"143","14.815574","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.9? Tell 10.0.0.4"
"144","14.815627","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.10? Tell 10.0.0.4"
"145","14.815850","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.11? Tell 10.0.0.4"
"146","15.802393","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.12? Tell 10.0.0.4"
"147","15.803387","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.2? Tell 10.0.0.4"
"148","15.803387","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.5? Tell 10.0.0.4"
"149","15.804630","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.6? Tell 10.0.0.4"
"150","15.804630","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.7? Tell 10.0.0.4"
"151","15.804860","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.8? Tell 10.0.0.4"
"152","15.806013","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.9? Tell 10.0.0.4"
"153","15.807673","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.10? Tell 10.0.0.4"
"154","15.812908","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.11? Tell 10.0.0.4"
"155","16.133134","10.0.0.3","104.18.47.230","TCP","55","58913 → 443 [ACK] Seq=1 Ack=1 Win=1023 Len=1 [TCP segment of a reassembled PDU]"
"156","16.327095","104.18.47.230","10.0.0.3","TCP","66","443 → 58913 [ACK] Seq=1 Ack=2 Win=64 Len=0 SLE=1 SRE=2"
"157","16.936725","Giga-Byt_01:fc:42","BaiduOnl_fd:9e:c4","ARP","42","Who has 10.0.0.4? Tell 10.0.0.3"
"158","16.938896","BaiduOnl_fd:9e:c4","Giga-Byt_01:fc:42","ARP","60","10.0.0.4 is at 88:2d:53:fd:9e:c4"
"159","17.326467","10.0.0.3","23.215.100.64","TCP","266","[TCP Retransmission] 58855 → 443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1024 Len=212"
"160","18.956294","10.0.0.3","239.100.1.1","ICEP","401","Request(oneway): stateReceiver.receiveStationRunningState()"
"161","18.956403","10.0.0.3","239.100.1.1","ICEP","108","Request(oneway): stateReceiver.receiveAppRunningState()"
"162","19.025629","10.0.0.3","239.100.1.1","ICEP","356","Request(oneway): stateReceiver.receiveNetStatistics()"
"163","19.161328","10.0.0.4","239.255.255.250","SSDP","243","M-SEARCH * HTTP/1.1 "
"164","20.401355","10.0.0.3","108.128.72.146","TLSv1.2","85","Application Data"
"165","20.619602","108.128.72.146","10.0.0.3","TCP","60","443 → 58530 [ACK] Seq=1 Ack=32 Win=60 Len=0"
"166","21.484340","Giga-Byt_01:fc:42","LLDP_Multicast","LLDP","58","MA/1c:1b:0d:01:fc:42 MA/1c:1b:0d:01:fc:42 3601 "
"167","23.580364","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.1? Tell 10.0.0.4"
"168","24.004352","108.128.72.146","10.0.0.3","TLSv1.2","79","Application Data"
"169","24.051771","10.0.0.3","108.128.72.146","TCP","54","58530 → 443 [ACK] Seq=32 Ack=26 Win=1021 Len=0"
"170","24.147657","10.0.0.3","239.100.1.1","ICEP","401","Request(oneway): stateReceiver.receiveStationRunningState()"
"171","24.147784","10.0.0.3","239.100.1.1","ICEP","108","Request(oneway): stateReceiver.receiveAppRunningState()"
"172","24.211604","10.0.0.3","239.100.1.1","ICEP","355","Request(oneway): stateReceiver.receiveNetStatistics()"
"173","28.330078","203.208.50.73","10.0.0.3","TLSv1.2","127","Application Data"
"174","28.330667","10.0.0.3","203.208.50.73","TCP","54","58905 → 443 [FIN, ACK] Seq=2 Ack=74 Win=1026 Len=0"
"175","28.369512","203.208.50.73","10.0.0.3","TCP","60","443 → 58905 [FIN, ACK] Seq=74 Ack=3 Win=266 Len=0"
"176","28.369512","203.208.50.73","10.0.0.3","TCP","66","[TCP Dup ACK 175#1] 443 → 58905 [ACK] Seq=75 Ack=3 Win=266 Len=0 SLE=2 SRE=3"
"177","28.369618","10.0.0.3","203.208.50.73","TCP","54","58905 → 443 [ACK] Seq=3 Ack=75 Win=1026 Len=0"
"178","28.618583","203.208.43.97","10.0.0.3","TLSv1.2","127","Application Data"
"179","28.619106","10.0.0.3","203.208.43.97","TCP","54","58866 → 443 [FIN, ACK] Seq=2 Ack=74 Win=1023 Len=0"
"180","28.655639","203.208.43.97","10.0.0.3","TCP","60","443 → 58866 [FIN, ACK] Seq=74 Ack=3 Win=290 Len=0"
"181","28.655639","203.208.43.97","10.0.0.3","TCP","66","[TCP Dup ACK 180#1] 443 → 58866 [ACK] Seq=75 Ack=3 Win=290 Len=0 SLE=2 SRE=3"
"182","28.655746","10.0.0.3","203.208.43.97","TCP","54","58866 → 443 [ACK] Seq=3 Ack=75 Win=1023 Len=0"
"183","28.714870","203.208.43.70","10.0.0.3","TLSv1.2","127","Application Data"
"184","28.715432","10.0.0.3","203.208.43.70","TCP","54","58867 → 443 [FIN, ACK] Seq=2 Ack=74 Win=1026 Len=0"
"185","28.752491","203.208.43.70","10.0.0.3","TCP","60","443 → 58867 [FIN, ACK] Seq=74 Ack=3 Win=271 Len=0"
"186","28.752491","203.208.43.70","10.0.0.3","TCP","66","[TCP Dup ACK 185#1] 443 → 58867 [ACK] Seq=75 Ack=3 Win=271 Len=0 SLE=2 SRE=3"
"187","28.752596","10.0.0.3","203.208.43.70","TCP","54","58867 → 443 [ACK] Seq=3 Ack=75 Win=1026 Len=0"
"188","29.175807","10.0.0.3","23.53.40.192","TCP","54","[TCP Retransmission] 57433 → 443 [FIN, ACK] Seq=1 Ack=1 Win=1024 Len=0"
"189","29.285791","10.0.0.3","239.100.1.1","ICEP","401","Request(oneway): stateReceiver.receiveStationRunningState()"
"190","29.285901","10.0.0.3","239.100.1.1","ICEP","108","Request(oneway): stateReceiver.receiveAppRunningState()"
"191","29.332625","10.0.0.3","23.215.100.64","TCP","266","[TCP Retransmission] 58855 → 443 [FIN, PSH, ACK] Seq=1 Ack=1 Win=1024 Len=212"
"192","29.344750","10.0.0.3","239.100.1.1","ICEP","356","Request(oneway): stateReceiver.receiveNetStatistics()"
"193","29.944836","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.2? Tell 10.0.0.4"
"194","29.946066","10.0.0.4","10.0.0.3","ICMP","74","Echo (ping) request  id=0xafaf, seq=0/0, ttl=255 (reply in 195)"
"195","29.946098","10.0.0.3","10.0.0.4","ICMP","74","Echo (ping) reply    id=0xafaf, seq=0/0, ttl=128 (request in 194)"
"196","29.948455","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.5? Tell 10.0.0.4"
"197","29.950149","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.6? Tell 10.0.0.4"
"198","29.951477","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.7? Tell 10.0.0.4"
"199","29.951658","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.8? Tell 10.0.0.4"
"200","29.952719","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.9? Tell 10.0.0.4"
"201","29.953781","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.10? Tell 10.0.0.4"
"202","29.955936","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.11? Tell 10.0.0.4"
"203","29.955963","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.12? Tell 10.0.0.4"
"204","30.803260","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.2? Tell 10.0.0.4"
"205","30.804156","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.12? Tell 10.0.0.4"
"206","30.805260","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.5? Tell 10.0.0.4"
"207","30.805260","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.6? Tell 10.0.0.4"
"208","30.806486","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.7? Tell 10.0.0.4"
"209","30.807691","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.8? Tell 10.0.0.4"
"210","30.809731","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.9? Tell 10.0.0.4"
"211","30.809731","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.10? Tell 10.0.0.4"
"212","30.810962","BaiduOnl_fd:9e:c4","Broadcast","ARP","60","Who has 10.0.0.11? Tell 10.0.0.4"
